,meeting_pattern_id,day,time_start,time_end
159,mp159,R,1600,1730
160,mp160,W,1500,1800
161,mp161,TR,1330,1520
162,mp162,R,1600,1800
163,mp163,MWF,800,850
164,mp164,S,1330,1630
165,mp165,W,1230,1520
166,mp166,F,1200,1400
167,mp167,F,1200,1300
168,mp168,T,1320,1450
169,mp169,T,900,1020
170,mp170,TR,1000,1130
171,mp171,T,1030,1330
172,mp172,W,1530,1820
173,mp173,R,1030,1320
174,mp174,T,1500,1800
175,mp175,T,1500,1750
176,mp176,MW,1530,1650
177,mp177,M,1810,2010
178,mp178,M,1330,1630
179,mp179,MTWRF,1300,1730
180,mp180,S,930,1200
181,mp181,F,1030,1320
182,mp182,M,1530,1820
183,mp183,W,830,1630
184,mp184,F,1330,1450
185,mp185,F,1400,1600
186,mp186,MWF,1130,1230
187,mp187,MWF,930,1030
188,mp188,ARR,1215,1345
189,mp189,TF,1100,1205
190,mp190,T,1200,1315
191,mp191,MWF,1500,1620
192,mp192,TWR,1500,1620
193,mp193,W,1800,2050
194,mp194,M,1030,1320
195,mp195,MW,800,1020
196,mp196,W,1200,1300
197,mp197,T,1210,1320
198,mp198,RF,830,1130
199,mp199,MF,1330,1450
200,mp200,R,1500,1800
201,mp201,T,1400,1700
202,mp202,M,1530,1650
203,mp203,MW,1200,1320
204,mp204,WF,1500,1620
205,mp205,W,1330,1700
206,mp206,R,1630,1820
207,mp207,T,1200,1500
208,mp208,W,1300,1600
209,mp209,F,830,1130
210,mp210,T,1530,1730
211,mp211,TR,900,1150
212,mp212,WF,1000,1130
213,mp213,MWF,1600,1650
214,mp214,T,1200,1300
215,mp215,S,1300,1600
216,mp216,MW,1010,1130
217,mp217,MWF,1330,1520
218,mp218,U,900,1200
219,mp219,W,1430,1720
220,mp220,TR,1500,1750
221,mp221,MTWRF,1330,1420
222,mp222,M,1200,1320
223,mp223,F,1000,1200
224,mp224,R,1530,1700
225,mp225,M,1830,2130
226,mp226,TR,1030,1220
227,mp227,R,1630,1800
228,mp228,T,1530,1820
229,mp229,T,1530,1720
230,mp230,W,1200,1450
231,mp231,MWF,830,1030
232,mp232,T,1330,1530
233,mp233,F,1300,1420
234,mp234,T,1400,1650
235,mp235,T,1830,2130
236,mp236,T,1500,1650
237,mp237,T,600,1600
238,mp238,MWF,1430,1620
239,mp239,S,1230,1530
240,mp240,TF,945,1050
241,mp241,M,1330,1450
242,mp242,W,930,1020
243,mp243,W,1500,1630
244,mp244,F,1530,1750
245,mp245,F,1600,1720
246,mp246,F,1200,1330
247,mp247,MRF,1300,1500
248,mp248,T,1600,2230
249,mp249,F,1330,1420
250,mp250,M,830,1130
251,mp251,TR,830,1020
252,mp252,MTWRF,900,1600
253,mp253,R,1400,1650
254,mp254,TR,1700,1850
255,mp255,M,1500,1800
256,mp256,R,1800,2000
257,mp257,MTWRF,1200,1400
258,mp258,M,900,1630
259,mp259,MTWR,1330,1450
260,mp260,M,1700,1800
261,mp261,M,1645,1900
262,mp262,F,1500,1750
263,mp263,W,1330,1450
264,mp264,R,1100,1300
265,mp265,W,1530,1650
266,mp266,TR,1600,1720
267,mp267,M,1700,2000
268,mp268,MR,1800,2100
269,mp269,F,1100,1350
270,mp270,T,1500,1620
271,mp271,R,1500,1620
272,mp272,F,1200,1320
273,mp273,MR,1630,2000
274,mp274,MTWRF,1430,1520
275,mp275,W,1450,1750
276,mp276,T,1700,1820
277,mp277,R,1330,1530
278,mp278,R,1200,1300
279,mp279,T,900,1030
280,mp280,M,1200,1330
281,mp281,W,1130,1320
282,mp282,S,1430,1630
283,mp283,R,1700,1900
284,mp284,W,1830,2130
285,mp285,M,1010,1130
286,mp286,F,1730,2030
287,mp287,MW,1230,1320
288,mp288,T,1530,1645
289,mp289,F,945,1145
290,mp290,W,1730,2020
291,mp291,MTWRF,830,935
