,course_id,dept,course_num,title
81,1385,ARAM,10402,Elementary Syriac II.
82,203,BPRO,25000,Images of Time: Japanese History through Film.
83,1362,MUSI,29700,Independent Study in Music.
84,782,FNDL,23806,Consciousness and Critique: The Autobiographies of Dorothy Day and Malcolm X.
85,1153,LLSO,25904,America in the Twentieth Century.
86,770,FNDL,22901,Many Ramayanas.
87,641,CMSC,25400,Machine Learning.
88,2206,BIOS,25126,Animal Models of Human Disease.
89,1150,LLSO,24901,U.S. Environmental Policy.
90,1573,PSYC,20700,Sensation and Perception.
91,1087,HUMA,20710,At the Piano I: Keyboard Studies for Non-Music Majors.
92,1563,PLSC,29500,"Drugs, Guns, and Money: The Politics of Criminal Conflict."
93,2264,ENSC,23820,Biogeochemical Analysis in Terrestrial and Aquatic Ecosystems – Marine Biological Laboratory.
94,1549,PLSC,27216,Machiavelli's Political Thought.
95,1699,PORT,13100,Accelerated Portuguese for Speakers of Romance Languages I.
96,533,CMLT,25014,Writing towards Freedom: Slave Narratives and Emergent Black Writing.
97,1851,SOCI,20005,Sociological Theory.
98,1938,SALC,29800,BA Paper.
99,1668,FREN,27600,Ancien Francais/Old French.
100,1585,PSYC,24050,Understanding Wisdom.
101,2319,PHYS,25000,Computational Physics.
102,979,HIST,26411,Literature and History in the Ibero and Ibero-American World.
103,1246,MATH,25400,Basic Algebra I.
104,283,CHEM,38700,Biophysical Chemistry.
105,1908,MARA,20100,Second-Year Marathi I.
106,1023,HIPS,22401,Darwinian Health.
107,1634,RLST,28715,Blood & Ink: Art at the Time of the Protestant Reformation.
108,1093,HUMA,29700,Reading Course.
109,1512,PHIL,29901,Senior Seminar I.
110,1264,MATH,28100,Introduction to Complexity Theory.
111,1642,CATA,21900,Contemporary Catalan Literature.
112,958,HIST,23516,Medieval Masculinity.
113,390,NEHC,20006,Ancient Near Eastern Thought and Literature III: Egypt.
114,633,CMSC,23400,Mobile Computing.
115,1019,HIPS,21301,The Anthropology of Science.
116,1048,HIPS,26502,Social Studies of Science.
117,1497,PHIL,22960,Introduction to Bayesian Epistemology.
118,1849,SOCI,20001,Sociological Methods.
119,81,ANTH,27135,Theories and Practices of Communicating Politically.
120,1785,RUSS,21402,Advanced Russian through Media II.
121,482,LATN,23400,Boethius: Consolation of Philosophy.
122,1930,SALC,22900,Performance and Politics in India.
123,1009,HIST,29801,BA Thesis Seminar I.
124,1498,PHIL,23000,Introduction to Metaphysics and Epistemology.  100  Units.
125,1807,REES,29700,Reading/Research: Russian and Eastern European Studies.
126,1855,SOCI,20104,Urban Structure and Process.
127,557,CRES,20104,Urban Structure and Process.
128,2210,BIOS,25226,Endocrinology I: Cell Signaling.
129,925,HIST,16103,Introduction to Latin American Civilization III.
130,1989,STAT,29900,Bachelor's Paper.
131,1011,HIPS,15002,Whales and Whaling in American History.
132,982,HIST,27012,Histories of Violence in the United States.
133,10,ANTH,21107,Anthropological Theory.
134,1409,HEBR,10503,Introductory Modern Hebrew III.
135,1964,URDU,10300,First-Year Urdu III.
136,984,HIST,27506,Changing America in the Twentieth Century.
137,220,BPRO,28000,"Terror, Religion, and Aesthetics."
138,508,CHDV,25500,Language Socialization.
139,898,GLST,23102,Global Studies II.
140,1796,REES,26048,Russian Cinema.
141,146,ARTH,27304,Photo/Modernism/Esthetic.
142,1123,INST,29900,BA Thesis (Reading and Research)
143,365,HIST,10102,Introduction to African Civilization II.
144,1451,NEHC,29800,BA Paper Seminar.
145,1882,SOCI,28069,Computing and Society.
146,1917,SANS,10100,First-Year Sanskrit I.
147,2035,TAPS,29100,Advanced Study: Choreography.
148,108,ARTH,15600,Twentieth-Century Art.
149,777,FNDL,26903,Gombrowicz: The Writer as Philosopher.
150,2310,PHYS,22000,Introduction to Mathematical Methods in Physics.
151,1782,RUSS,21102,Fourth-Year Russian through Short Story II.
152,2147,BIOS,21249,"Organization, Expression, and Transmission of Genome Information."
153,1090,HUMA,20713,At the Piano IV: Keyboard Studies for Non-Music Majors.
154,1945,TAML,10200,First-Year Tamil II.
155,909,HIST,12800,Music in Western Civilization II: 1750 to the Present.
156,708,KORE,23100,Microeconomics and the Korean Economy.
157,581,CRES,29000,"Latin American Religions, New and Old."
158,436,CLCV,28300,Ephron Seminar: Getting to Happiness: Philosophy as a Way of Life from Antiquity to the Present.
159,1578,PSYC,22831,Debates in Cognitive Neuroscience.
160,1436,NEHC,20121,The Bible and Archaeology.
161,1422,KAZK,20101,Intermediate Kazakh I.
162,1348,MUSI,25600,Jazz Theory and Improvisation.
163,255,CHEM,29900,Advanced Research in Chemistry.
164,1880,SOCI,28067,Colleges and Universities in American Society.
165,489,CCTS,43100,Topics in Global Health.
166,1167,LLSO,28406,Nineteenth-Century Segment of the United States History Survey.
167,2011,TAPS,26100,Dance Composition.
168,1932,SALC,25304,Introduction to Hinduism.
169,2201,BIOS,24247,Neurobiology of Disease II.
170,592,CRES,27503,Racism without Race.
171,931,HIST,17503,"Science, Culture, and Society in Western Civilization III: History of Medicine 2."
172,2219,BIOS,25309,Cancer Metastasis.
173,591,CRES,27302,"Gender, Sexuality, Indigenous Women in the Colonial Encounter."
174,1270,ARTH,17211,Arts of Medieval Japan.
175,531,CMLT,23702,Making a Scene.
176,1728,SPAN,23915,"Narrativas de la violencia: literatura, cine y dictadura en el."
177,1919,SANS,10300,First-Year Sanskrit III.
178,1965,URDU,20100,Second-Year Urdu I.
179,1091,HUMA,24005,Understanding Wisdom.
180,634,CMSC,23500,Introduction to Database Systems.
181,992,HIST,29301,Human Rights I: Philosophical Foundations of Human Rights.
182,1635,RLST,29700,Reading and Research Course.
183,1916,PALI,20300,Second-Year Pali III.
184,1136,LLSO,21710,Machiavelli: The Prince and Discourses.
185,1898,HIND,20300,Second-Year Hindi III.
186,2055,ARTV,23805,Minimalist Experiment in Film and Video.
187,1980,STAT,25100,Introduction to Mathematical Probability.
188,193,BPRO,24150,"Romantic Love: Cultural, Philosophical, and Psychological Aspects."
189,1306,MENG,26020,Engineering Electrodynamics.
190,1076,HUMA,14000,"Reading Cultures: Collection, Travel, Exchange I."
191,450,GREK,21200,Philosophy:  Plato's Phaedrus.
192,1878,SOCI,20246,The Politics of Racial Knowledge.
193,705,KORE,22100,Korean Contemporary TV and Language.
194,2296,PHYS,12200,General Physics II.
195,1143,LLSO,27202,Dante's Divine Comedy 2: Purgatorio and Vita Nova.
196,1314,MENG,27300,Polymer Physics and Engineering.
197,2168,BIOS,22306,Evolution and Development.
198,1117,INST,24101,Paperwork.
199,361,HIPS,17501,"Science, Culture, and Society in Western Civilization III: Medicine since the Renaissance."
200,546,CMLT,28610,The German Romantic Lied.
201,1623,RLST,26501,Renaissance Demonology.
202,1689,ITAL,24410,Vichianism: The Italian (Counter-) Enlightenment.
203,1808,REES,29900,B.A. Paper Workshop.
204,542,CMLT,27114,"Faust, Myth of the Modern World."
205,497,CHDV,20602,"Globalization, Immigration, and Culture."
206,1395,EGPT,10103,Middle Egyptian Texts I.
207,1725,SPAN,21903,Introducción a las literaturas hispánicas: textos hispanoamericanos desde la colonia a la independencia.
208,1032,HIPS,24300,Foucault and The History of Sexuality.
209,872,GRMN,21203,Drama und Film.
210,104,ARTH,14107,Greek Art and Archaeology.
211,551,CMLT,29701,"Introduction to Comparative Literature I: Problems, Methods, Precedents."
212,1646,FREN,10006,Intensive Elementary French II.
213,301,SOSC,25503,Teaching and Learning in Urban Schools.
214,1077,HUMA,14100,"Reading Cultures: Collection, Travel, Exchange II."
215,25,ANTH,21725,Mass Mediated Society and Japan.
216,2096,BIOS,12116,The Human Body in Health and Disease.
217,1947,TAML,20100,Second-Year Tamil I.
218,902,GLST,29700,Reading/Research: Global Studies.
219,379,HIST,16900,Ancient Mediterranean World III.
220,1473,TURK,20103,Intermediate Turkish III.
221,741,EALC,27451,Imagining the Hermit in Chinese Literature and Art.
222,1060,HIPS,29900,Bachelor's Thesis.
223,1720,SPAN,21100,Las regiones del español.
224,2231,BIOS,27811,Global Health Sciences II: Microbiology.
225,1051,HIPS,28202,Topics in Philosophy of Science: Mechanism and Causation.
226,2078,ARTV,29850,Senior Seminar.
227,960,HIST,24112,Early Modern Japanese History.
228,138,ARTH,25810,Global Abstraction.
229,1241,MATH,21200,Advanced Numerical Analysis.
230,1164,LLSO,28000,United States Labor History.
231,2191,BIOS,24203,Fundamentals of Neuroscience.
232,1249,MATH,25700,Honors Basic Algebra I.
233,803,GNSE,28604,Law and Social Movements in Modern America.
234,2292,PHSC,18100,The Milky Way.
235,1548,PLSC,27016,"Popular Culture, Art, and Autocracy."
236,601,BIOS,26210,Mathematical Methods for Biological Sciences I.
237,1769,POLI,24200,Polish Through Literary Readings II.
238,2291,PHSC,13600,Natural Hazards.
239,1380,ARAB,20103,Intermediate Arabic III.
240,467,LATN,11100,Accelerated Introduction to Classical Latin I.
241,1637,RLST,29900,BA Paper.
242,1660,FREN,22810,Montaigne and Liberalism.
243,31,ANTH,22400,Big Science and the Birth of the National Security State.
244,284,CHEM,51100,Scientific Methods and Ethics.
245,116,ARTH,17205,Islamic Gardens in Landscape and Image.
246,1911,PALI,10100,First-Year Pali I.
247,93,ANTH,28400,Bioarchaeology and the Human Skeleton.
248,1877,SOCI,20245,Global Health and Inequality.
249,1687,ITAL,22560,Poetic Postures of the Twentieth Century.
250,486,CCTS,21003,Topics in Clinical Research.
251,1971,STAT,22400,Applied Regression Analysis.
252,656,CHIN,10300,Elementary Modern Chinese III.
253,905,HIST,10800,Introduction to the Civilizations of South Asia I.
254,956,HIST,23409,"After the Revolution: French Politics and Society, 1815–1914."
255,618,CMSC,22001,Software Construction.
256,1470,TURK,10107,Introduction to Old Turkic III.
257,987,HIST,28000,United States Latinos: Origins and Histories.
258,649,CMSC,28000,Introduction to Formal Languages.
259,596,CRES,29800,BA Colloquium: Theory and Methods in Comparative Race and Ethnic Studies.
260,217,BPRO,27000,Perspectives on Imaging.
261,375,HIST,13900,Introduction to Russian Civilization I.
262,1803,REES,29012,Returning the Gaze: The Balkans and Western Europe.
263,2195,BIOS,24208,Survey of Systems Neuroscience.
264,256,CHEM,30100,Advanced Inorganic Chemistry.
265,1320,MUSI,10200,Introduction to World Music.
266,408,CLCV,20900,Ancient Mediterranean World III.
267,1360,MUSI,28500,Musicianship Skills.
268,1328,MUSI,22806,Music in Fin-de-Siecle France.
269,594,CRES,28011,Religions of the African Diaspora.
270,1256,MATH,27000,Basic Complex Variables.
271,1923,SALC,.  Ra,"to Rap, Kama Sutra to Kant: South Asian Aesthetics in Com."
272,2295,PHYS,12100,General Physics I.
273,1043,HIPS,25700,Science in Victorian Britain.
274,1467,TURK,10103,Elementary Turkish III.
275,1371,AANL,20901,Introduction to Hurrian.
276,1800,REES,27023,"Writing the Jewish Body: Health, Disease, Literature."
277,499,CHDV,21401,Introduction to African Civilization II.
278,1490,PHIL,21410,Philosophy of Action.
279,1029,HIPS,23700,Apes and Human Evolution.
280,1545,PLSC,26305,Elections with(out) Choices? Comparative Approaches.
281,1913,PALI,10300,First-Year Pali III.
282,1826,SOSC,21100,Music in Western Civilization I: To 1750.
283,1258,MATH,27300,Basic Theory of Ordinary Differential Equations.
284,2156,BIOS,21415,Stem Cells in Development and Diseases.
285,1752,CZEC,20300,Second-Year Czech III.
286,1135,LLSO,20802,Machiavelli's Literary Works.
287,2146,BIOS,21238,Cell Biology II.
288,1931,SALC,23903,Buddhist Thought in India and Tibet.
289,148,ARTH,29503,Mexican Murals.
290,2226,BIOS,27712,Independent Undergraduate Research in Environmental Sciences – Marine Biological Laboratory.
291,241,CHEM,22000,Organic Chemistry I.
292,1866,SOCI,20179,Labor Force and Employment.
293,181,BPRO,22500,"Medicine and Society: Things, Bodies, and Persons."
294,1257,MATH,27200,Basic Functional Analysis.
295,553,CMLT,29801,BA Project and Workshop: Comparative Literature.
296,1332,MUSI,23300,Introduction to the Social and Cultural Study of Music.
297,2198,BIOS,24218,Molecular Neurobiology.
298,19,ANTH,21327,Anthropology of Labor.
299,198,BPRO,24500,Language and Globalization.
300,223,BPRO,28800,The Role of Animals in Modern Society.
301,295,GEOG,23500,Urban Geography.
302,1762,POLI,20103,Second-Year Polish I.
303,222,BPRO,28500,Sex and Ethics.
304,2053,ARTV,23801,Video.
305,965,HIST,24608,Frontiers and Expansion in Modern China.
306,1102,HMRT,23301,History of Humanitarian Intervention.
307,1868,SOCI,20205,Medical Sociology.
308,1711,SPAN,10300,Beginning Elementary Spanish III.
309,1334,MUSI,23509,Eurovision Song Contest.
310,907,HIST,12100,War in the Middle Ages.
311,1234,MATH,20300,Analysis in Rn I.
312,377,HIST,16700,Ancient Mediterranean World I.
313,156,ASTR,20000,Tutorial in Astronomy and Astrophysics.
314,1106,HMRT,25210,Anthropology of Disability.
315,2216,BIOS,25266,Molecular Immunology.
316,1592,PSYC,27010,Psycholinguistics.
317,929,HIST,17501,"Science, Culture, and Society in Western Civilization III: Medicine since the Renaissance."
318,1873,SOCI,20236,The Sociology of Development.
319,767,FNDL,27202,Dante's Divine Comedy 2: Purgatorio and Vita Nova.
320,733,EALC,26201,Medicine and Culture in Modern East Asia.
321,1247,MATH,25500,Basic Algebra II.
322,674,CHIN,20603,Fifth-Year Modern Chinese III.
323,1802,REES,29006,The Brighter Side of the Balkans: Humor & Satire in Lit & Film.
324,2170,BIOS,23232,Ecology and Evolution in the Southwest.
325,239,CHEM,20100,Inorganic Chemistry I.
326,29,ANTH,22130,Anthropology of the Machine.
327,2101,BIOS,13111,Natural History of North American Deserts.
328,1259,MATH,27400,Introduction to Differentiable Manifolds and Integration on Manifolds.
329,667,CHIN,20502,Fourth-Year Modern Chinese II.
330,2036,TAPS,29200,Advanced Study: Dance.
331,358,HIPS,17300,"Science, Culture, and Society in Western Civilization I."
332,2182,BIOS,23286,An Introduction to Population Genetics.
333,184,BPRO,23000,Cosmos and Conscience: Looking for Ourselves Elsewhere.
334,2249,BIOS,29327,Topics in Clinical Research.
335,12,ANTH,21217,The Luo of Kenya.
336,934,HIST,18301,Colonizations I.
337,98,ANTH,29105,Pollen Analysis.
338,919,HIST,15702,"Semitic Languages, Cultures, and Civilizations I."
339,1828,SOSC,22000,Islamic Thought and Literature I.
340,412,CLCV,21915,The Present Past in Greece since 1769.
341,440,GREK,10100,Introduction to Attic Greek I.
342,1784,RUSS,21302,Advanced Russian through Media I.
343,296,GEOG,26100,Roots of the Modern American City.
344,523,CMLT,20600,History and Theory of Drama II.
345,2079,ARTV,29900,Senior Project.
346,76,ANTH,26711,Ancient Landscapes II.
347,1272,ARTH,22550,Histories of Cairo.
348,22,ANTH,21420,Ethnographic Methods.
349,2024,TAPS,28444,Visual Language: On Images.
350,1158,LLSO,26804,"Insurgency, Terrorism, and Civil War."
351,1014,HIPS,20700,Elementary Logic.
352,2135,BIOS,20235,Biological Systems.
353,2177,BIOS,23258,Molecular Evolution I: Fundamentals and Principles.
354,82,ANTH,27210,The Politics and Psychology of Language.
355,749,CHDV,20209,Adolescent Development.
356,368,HIST,13003,History of European Civilization III.
357,192,BPRO,24100,Science and Religion.
358,624,CMSC,22610,Implementation of Computer Languages I.
359,1381,ARAB,20390,Arabic in Social Context.
360,859,GEOS,29001,Field Course in Geology.
361,2318,PHYS,23700,Nuclei and Elementary Particles.
362,1612,RLST,22501,Foundations of Chinese Buddhism.
363,1133,LLSO,24200,Legal Reasoning.
364,432,CLCV,25900,Ancient Empires III: The Egyptian Empire of the New Kingdom.
365,857,GEOS,28100,Global Tectonics.
366,2087,BIOS,17100,"Darwin's ""On the Origin of Species"" and ""The Descent of Man"""
367,1443,NEHC,20710,Iranian Cinema.
368,1215,SWAH,27000,Intermediate Swahili III.
369,722,EALC,24500,Reading Qing Documents.
370,1425,NEAA,10630,"Islamic Art and Architecture, 1100 to 1500."
371,2052,ARTV,22502,Data and Algorithm in Art.
372,157,ASTR,24100,The Physics of Stars and Stellar Systems.
373,1127,LACS,24512,Intermediate Haitian Kreyol I.
374,470,LATN,20100,Intermediate Latin I: Cicero.
375,2012,TAPS,27100,Scene Painting.
376,558,CRES,21201,Chicago Blues.
377,271,CHEM,33200,Chemical Biology I.
378,1994,TAPS,10600,Staging Desire.  100  Units.
379,781,FNDL,23112,The Autobiography of Teresa of Avila.
380,1525,PLSC,21401,Great Power Politics in the Nineteenth Century.
381,297,HIST,27705,"Introduction to Black Chicago, 1893 to 2010."
382,2160,BIOS,21507,Selected Topics in Molecular Engineering:  The Engineering and Biology of Tissue Repair.
383,71,ANTH,25906,Shamans and Oral Poets of Central Asia.
384,2245,BIOS,29321,The Problem of Evil: Disease?
385,1034,HIPS,24800,Gender and History and Science Technology and Medicine.
386,338,CMST,28500,History of International Cinema I: Silent Era.
387,1000,HIST,29655,"History Colloquium: South Africa—Settlement, Segregation, and Apartheid."
388,2075,ARTV,29202,"Objects, Things, and Other Things."
389,566,CRES,11000,Introduction to the Civilizations of East Asia III.
390,11,ANTH,21201,Chicago Blues.
391,1411,HEBR,20002,Phoenician Inscriptions.
392,1404,HEBR,10101,Elementary Classical Hebrew I.
393,1134,LLSO,20601,"American Revolution, 1763 to 1789."
394,899,GLST,24101,Paperwork.
395,1096,HMRT,20300,Human Rights III: Contemporary Issues in Human Rights.
396,575,CRES,21903,Introducción a las literaturas hispánicas: textos hispanoamericanos desde la colonia a la independencia.
397,559,CRES,22150,Contemporary African American Politics.
398,1282,HIST,21701,"Byzantine Empire, 330-610."
399,571,CRES,27900,Asian Wars of the Twentieth Century.
400,2031,TAPS,28700,Advanced Study: Playwriting.
401,1463,SUMR,10102,Elementary Sumerian II.
402,851,GEOS,25400,Introduction to Numerical Techniques for the Geophysical Sciences.
403,110,ARTH,15709,20th Century Western Architecture.
404,1721,SPAN,21310,Golden Age Poetry. Theory and Practice of Lyric Reading.
405,1435,NEHC,10101,Introduction to the Middle East.
406,129,ARTH,22611,The Politics of Luxury in the Middle Ages.
407,2303,PHYS,14300,"Honors Waves, Optics, and Heat."
408,2089,BIOS,11119,The Biology of Gender.
409,2269,ENSC,24300,Roles of Animals in Ecosystems – Marine Biological Laboratory.
410,2068,ARTV,26000,Introduction to Stage Design.
411,278,CHEM,36500,Chemical Dynamics.
412,2123,BIOS,20173,Perspectives of Human Physiology.
413,1975,STAT,24300,Numerical Linear Algebra.
414,1756,POLI,10103,First-Year Polish I.
415,892,YDDH,20100,Intermediate Yiddish I.
416,1555,PLSC,28300,Seminar on Realism.
417,67,ANTH,25325,History and Culture of Baseball.
418,1344,MUSI,25100,Analysis of Music of the Classical Period.
419,472,LATN,20300,Intermediate Latin III: Seneca.
420,2102,BIOS,13112,Natural History of North American Deserts: Field School.
421,363,HIPS,17503,"Science, Culture, and Society in Western Civilization III: History of Medicine 2."
422,577,CRES,27101,"Introduction to Brazilian Culture: Essay, Fiction, Cinema, and Music."
423,1955,TLGU,20300,Second-Year Telugu III.
424,1172,ASLG,10100,American Sign Language I.
425,1271,ARTH,17612,The Art of Michelangelo.
426,765,FNDL,26047,Pushkin and Gogol.
427,903,GLST,29800,BA Thesis Seminar I.
428,307,CMST,14400,Film and the Moving Image.
429,221,BPRO,28100,What Is Enlightenment?
430,1365,AKKD,10102,Elementary Akkadian II.
431,496,CHDV,20440,"Inequality, Health, and The Life Course."
432,1329,MUSI,22900,Contemporary Opera.
433,1001,HIST,29656,"History Colloquium: Urban Histories—Experiencing, Using, and Representing the City."
434,1052,HIPS,28601,Environment and the Body.
435,49,ANTH,24001,Colonizations I.
436,1809,SOSC,11100,"Power, Identity, and Resistance I."
437,1644,CATA,29700,Readings in Special Topics.
438,2083,BIOS,10500,Metabolism and Exercise.
439,265,CHEM,32300,Strategies and Tactics of Organic Synthesis.
440,1926,SALC,20702,Colonizations III.
441,183,BPRO,22610,Medical Ethics: Who Decides and on What Basis?
442,1586,PSYC,25101,The Psychology of Decision Making.
443,2047,ARTV,22000,Introduction to Painting I.
444,556,CRES,22205,Slavery and Unfree Labor.
445,1415,HEBR,20106,Intermediate Classical Hebrew III.
446,1792,REES,23706,The Soviet Union.
447,614,CMSC,15200,Introduction to Computer Science II.
448,522,CMLT,20500,History and Theory of Drama I.
449,572,CRES,16101,Introduction to Latin American Civilization I.
450,1737,BCSN,10203,First-Year Bosnian/Croatian/Serbian II.
451,273,CHEM,33400,High-Throughput Methods in Chemistry.
452,1142,LLSO,25606,Lucretius and Marx.
453,1484,PHIL,20506,Philosophy of History: Narrative and Explanation.
454,2041,ARTV,10200,Visual Language: On Objects.
455,643,CMSC,27200,Theory of Algorithms.
456,1053,HIPS,28801,Environmental Law.
457,1841,SOSC,26100,Introduction to Latin American Civilization I.
458,2072,ARTV,27200,Painting.
459,1175,ASLG,10400,Intermediate American Sign Language I.
460,941,HIST,20303,Archaic Greece.
461,526,CMLT,21702,"Nowhere Lands: Utopia, Dystopia, and Afterlife of Empire."
462,457,GREK,22500,Greek Historians: Herodotus.
463,335,CMST,27820,"Aesthetics of Media: Image, Music, Text."
464,392,NEHC,20012,Ancient Empires II: The Ottoman Empire.
465,274,CHEM,36100,Wave Mechanics and Spectroscopy.
466,1813,SOSC,12200,"Self, Culture, and Society II."
467,1682,ITAL,20100,"Language, History, and Culture I."
468,53,ANTH,24102,Introduction to the Civilizations of South Asia II.
469,896,YDDH,29800,Reading Yiddish for Research.
470,2224,BIOS,27710,Ecology – Marine Biological Laboratory.
471,1754,POLI,10200,First-Year Polish II.
472,564,CRES,10800,Introduction to the Civilizations of East Asia I.
473,1679,ITAL,10200,Beginning Elementary Italian II.
474,2097,BIOS,12117,The 3.5 Billion Year History of the Human Body.
475,1494,PHIL,21620,The Problem of Evil.
476,1640,CATA,21100,"Català avançat: Llengua, societat i cultura."
477,827,GEOS,13200,Earth History.
478,654,CHIN,10100,Elementary Modern Chinese I.
479,336,CMST,28006,Minimalist Experiment in Film and Video.
480,1054,HIPS,29613,Tutorial: Francis Bacon's Science and the Uses of Nature.
481,1801,REES,28002,Czech New Wave Cinema.
482,1997,TAPS,18600,Introduction to Puppetry.
483,1558,PLSC,28801,Introduction to American Politics.
484,852,GEOS,26300,Invertebrate Paleobiology and Evolution.
485,1318,MENG,29700,Undergraduate Research for Molecular Engineering.
486,875,GRMN,24116,Acrobatics of Reading: Kafka's Short Prose.
487,60,ANTH,24800,Uncanny Modernities.
488,124,ARTH,18000,Photography and Film.
489,1433,NEAA,20523,Islamic Archaeology of Iraq and Iran.
490,774,FNDL,24711,"Lincoln: Slavery, War, and the Constitution."
491,2149,BIOS,21328,Biophysics of Biomolecules.
492,1214,SWAH,26900,Intermediate Swahili II.
493,1613,RLST,23605,"Aquinas on God, Being, and Human Nature."
494,800,GNSE,23104,"Gender, Sexuality, and Islamic Traditions."
495,2044,ARTV,21001,Figure Drawing: Trans/Figuration.
496,200,BPRO,24700,From Neo-Liberalism to Neo-Imperialism.
497,1161,LLSO,27307,"Drugs, Guns, and Money: The Politics of Criminal Conflict."
498,1012,HIPS,20300,Scientific/Technological Change.
499,886,NORW,10400,Intermediate Norwegian I: Introduction to Literature.
500,1874,SOCI,20242,"States, Markets, and Bodies."
501,215,BPRO,26700,"Mythical History, Paradigmatic Figures: Caesar, Augustus, Charlemagne, Napoleon."
502,1373,ARAB,10102,Elementary Arabic II.
503,1279,FNDL,26106,The Medieval Persian Romance: Gorgani's Vis and Ramin.
504,2042,ARTV,10300,Visual Language: On Time and Space.
