,section_id,course_id,section_num,meeting_pattern_id,building_code,enrollment
204,sec_226,2005,01,mp77,LC,12
205,sec_227,3573,01,mp78,SHFE,-1
206,sec_228,1974,01,mp7,CLSC,90
207,sec_229,795,01,mp35,BSLC,-1
208,sec_230,2788,01,mp10,HC,65
209,sec_231,1665,01,mp15,JRL,14
210,sec_232,392,00,mp7,STU,60
211,sec_233,1429,01,mp8,OR,15
212,sec_234,2647,01,mp7,HM,20
213,sec_235,2710,01,mp29,,15
214,sec_236,1731,01,mp7,HM,20
215,sec_237,3707,01,mp3,SS,35
216,sec_238,3815,01,mp1,RO,15
217,sec_239,3128,02,mp75,GC,15
218,sec_240,3481,01,mp12,E,25
219,sec_241,1247,33,mp20,SS,35
220,sec_242,1167,01,mp12,SS,40
221,sec_243,1382,01,mp12,WB,15
222,sec_244,3170,01,mp11,,-1
223,sec_245,3299,01,mp79,H,30
224,sec_246,2623,01,mp35,RY,25
225,sec_247,2709,01,mp80,STU,15
226,sec_248,2536,30,mp81,,1
227,sec_249,2975,30,mp82,,2
228,sec_250,1572,00,mp83,SS,104
229,sec_252,3451,01,mp84,RO,17
230,sec_253,3564,00,mp11,STU,60
231,sec_255,2629,01,mp35,P,35
232,sec_256,3193,01,mp7,C,25
233,sec_257,3714,01,mp21,HC,65
234,sec_258,1222,20,mp5,P,27
235,sec_259,2617,01,mp16,LBQ,20
236,sec_260,2955,01,mp5,CWAC,23
237,sec_261,3471,01,mp85,GC,25
238,sec_262,2339,01,mp17,LC,15
239,sec_263,3412,81,mp28,GC,65
240,sec_264,2702,01,mp16,LBQ,20
241,sec_265,2830,01,mp12,SS,15
242,sec_266,2712,01,mp12,C,20
243,sec_267,2828,01,mp29,SS,20
244,sec_268,864,04,mp24,C,18
245,sec_269,1222,50,mp8,P,27
246,sec_270,1679,01,mp6,C,18
247,sec_271,3469,01,mp35,SHFE,40
248,sec_272,119,01,mp8,CWAC,16
249,sec_273,1710,04,mp62,C,18
250,sec_275,3340,01,mp35,H,19
251,sec_276,1850,01,mp11,SS,35
252,sec_278,2543,01,mp86,H,16
253,sec_279,3240,01,mp7,S,20
254,sec_280,2928,01,mp87,WB,30
255,sec_281,1236,47,mp13,E,30
256,sec_282,1080,08,mp47,C,-1
257,sec_283,2059,01,mp40,ED,15
258,sec_284,2489,01,mp88,ERC,20
259,sec_286,2931,01,mp12,CL,25
260,sec_287,3704,01,mp7,HM,20
261,sec_288,3644,01,mp37,SS,15
262,sec_289,1631,01,mp3,S,18
263,sec_290,1164,01,mp12,HM,55
264,sec_291,3231,00,mp30,STU,60
265,sec_292,1149,01,mp89,SS,150
266,sec_293,3553,01,mp45,JRL,15
267,sec_294,1065,05,mp11,C,-1
268,sec_295,3090,01,mp64,F,20
269,sec_296,2777,81,mp26,GC,65
270,sec_297,2766,01,mp90,C,16
271,sec_298,2080,07,mp91,BSLC,48
272,sec_299,2404,01,mp16,LBQ,20
273,sec_300,2356,32,mp46,,1
274,sec_301,955,01,mp35,MS,100
275,sec_304,648,50,mp8,E,30
276,sec_305,3422,01,mp92,Z,30
277,sec_306,3233,01,mp93,S,20
278,sec_307,2860,01,mp12,CL,20
279,sec_308,2439,32,mp94,,2
280,sec_309,1159,01,mp37,GSRP,-1
281,sec_310,1077,04,mp12,WB,-1
282,sec_311,2,01,mp86,H,16
283,sec_312,3400,01,mp37,S,15
284,sec_313,3665,01,mp95,GC,25
285,sec_315,2975,32,mp82,,2
286,sec_316,2724,01,mp8,BSLC,30
287,sec_317,3525,01,mp12,SHFE,40
288,sec_319,3779,01,mp17,CL,15
289,sec_320,3100,01,mp96,RY,50
290,sec_321,2474,01,mp5,JRL,24
291,sec_322,3801,01,mp97,HC,30
292,sec_323,2801,81,mp28,B455,65
293,sec_324,1581,01,mp20,BSLC,120
294,sec_325,2881,01,mp98,KCBD,50
295,sec_327,2820,01,mp99,RY,-1
296,sec_328,1176,01,mp8,C,35
297,sec_329,1603,00,mp30,STU,60
298,sec_330,365,01,mp35,CLSC,80
299,sec_331,1589,01,mp15,RO,37
300,sec_333,3762,01,mp100,LBQ,8
301,sec_334,3225,01,mp101,HM,20
302,sec_336,1556,01,mp84,P,-1
303,sec_337,2639,01,mp37,SHFE,30
304,sec_338,3473,01,mp102,CWAC,18
305,sec_339,3531,01,mp11,ERC,-1
306,sec_340,3428,01,mp11,S,20
307,sec_341,3118,03,mp51,HC,65
308,sec_342,527,01,mp12,CL,30
309,sec_343,3271,01,mp103,HC,70
310,sec_344,3455,01,mp7,OR,20
311,sec_345,232,00,mp20,K,-1
312,sec_346,3208,01,mp11,C,-1
313,sec_348,3658,01,mp14,C,15
314,sec_349,2981,01,mp11,C,30
315,sec_350,1837,01,mp7,E,19
316,sec_351,3076,01,mp67,RO,-1
317,sec_352,1010,06,mp77,SS,12
318,sec_353,1062,11,mp11,CL,-1
319,sec_354,2107,01,mp6,BSLC,35
320,sec_356,2576,01,mp12,E,90
321,sec_357,1231,22,mp5,E,30
322,sec_358,1373,02,mp20,C,19
323,sec_359,3217,01,mp27,S,20
324,sec_360,2457,01,mp67,HC,65
325,sec_361,1713,04,mp68,C,18
326,sec_362,265,01,mp5,K,25
327,sec_363,1712,02,mp68,C,18
328,sec_364,1226,30,mp7,RY,20
329,sec_365,1095,01,mp7,SS,50
330,sec_366,3419,01,mp7,SS,35
331,sec_367,2480,81,mp26,B455,30
332,sec_368,3154,01,mp60,EBC,25
333,sec_370,2850,01,mp9,CL,20
334,sec_371,2657,01,mp64,TTI,38
335,sec_372,2453,01,mp7,E,65
336,sec_373,2798,00,mp12,STU,50
337,sec_375,2918,81,mp26,GC,65
338,sec_376,3691,01,mp104,PSY,20
339,sec_377,3020,01,mp35,SS,25
340,sec_378,2604,01,mp19,RO,50
341,sec_380,694,01,mp105,C,18
342,sec_381,2618,30,mp106,DCAM,3
343,sec_382,410,01,mp35,CWAC,23
344,sec_383,367,03,mp24,C,19
345,sec_384,3267,01,mp12,E,30
346,sec_385,2551,01,mp12,WB,15
347,sec_386,2855,01,mp7,SS,50
348,sec_388,3765,01,mp12,GSRP,20
349,sec_389,655,04,mp107,C,18
350,sec_391,3131,01,mp108,H,20
351,sec_392,2675,00,mp5,SS,38
352,sec_393,1656,01,mp12,WB,18
353,sec_394,3032,34,mp82,,1
354,sec_395,47,01,mp12,STU,50
355,sec_396,3627,01,mp3,S,20
356,sec_397,1472,01,mp109,C,15
357,sec_400,1147,01,mp7,STU,60
358,sec_401,3711,01,mp28,GC,25
359,sec_402,2791,30,mp106,DCAM,4
360,sec_403,2080,12,mp110,BSLC,48
361,sec_404,2510,01,mp15,P,20
362,sec_405,2998,03,mp64,PBPL,-1
363,sec_406,2471,01,mp3,SS,35
364,sec_407,1223,37,mp20,RO,27
365,sec_408,1448,01,mp17,JRL,18
366,sec_409,1325,01,mp20,GO H,-1
367,sec_410,2595,01,mp73,S,20
368,sec_411,2146,01,mp35,BSLC,-1
369,sec_412,3087,01,mp39,LBQ,30
370,sec_413,2072,01,mp17,LC,15
371,sec_414,1068,04,mp12,G,-1
372,sec_415,773,01,mp12,WB,20
373,sec_416,3464,01,mp5,HM,-1
374,sec_417,1321,01,mp12,LC,17
375,sec_418,3489,01,mp24,C,20
376,sec_419,1101,01,mp111,HM,75
377,sec_420,1346,01,mp7,GO H,15
378,sec_421,3404,02,mp51,HC,65
379,sec_422,1596,01,mp43,PSY,-1
380,sec_423,3596,01,mp112,F,30
381,sec_424,1205,01,mp24,C,-1
382,sec_425,1440,01,mp7,S,70
383,sec_426,3716,01,mp72,LBQ,118
384,sec_427,866,01,mp113,C,18
385,sec_428,2486,01,mp114,RY,40
386,sec_429,3514,01,mp19,SHFE,-1
387,sec_430,3253,01,mp12,OR,15
388,sec_431,2913,01,mp12,CL,20
389,sec_432,3004,01,mp29,P,15
390,sec_433,2440,02,mp115,SSA,25
391,sec_434,2376,01,mp105,C,18
392,sec_435,583,01,mp11,RO,25
393,sec_436,703,01,mp8,C,20
394,sec_437,3317,02,mp17,M,-1
395,sec_438,1068,11,mp24,W,-1
396,sec_439,2635,01,mp53,HC,65
397,sec_440,3203,01,mp8,C,30
398,sec_441,2799,85,mp95,GC,65
399,sec_442,2008,01,mp35,HM,24
400,sec_443,3472,01,mp11,E,25
401,sec_444,2959,01,mp8,SHFE,-1
402,sec_447,2975,34,mp82,,2
403,sec_448,1379,03,mp116,WB,12
404,sec_449,2413,01,mp3,JRL,15
405,sec_450,3652,01,mp117,HC,22
406,sec_451,2358,01,mp75,GC,20
407,sec_452,2851,01,mp7,WB,20
408,sec_453,3118,01,mp34,HC,65
409,sec_454,3524,01,mp5,SS,25
410,sec_455,1466,01,mp105,C,18
411,sec_456,2671,32,mp81,,1
412,sec_457,1325,02,mp13,GO H,-1
413,sec_458,1679,02,mp20,C,18
414,sec_459,2644,01,mp12,GSRP,20
415,sec_460,3671,01,mp8,CL,40
416,sec_461,3816,85,mp95,GC,65
417,sec_462,2458,01,mp93,S,20
418,sec_464,3274,01,mp62,CL,20
419,sec_465,2813,01,mp90,SHFE,60
420,sec_466,2534,01,mp45,PBPL,-1
421,sec_467,1139,01,mp29,F,-1
422,sec_468,2847,01,mp12,HM,12
423,sec_469,3205,01,mp7,S,70
424,sec_470,2211,01,mp62,CLSC,120
425,sec_471,2673,01,mp43,WB,15
426,sec_472,2923,01,mp77,RO,12
427,sec_473,3806,01,mp104,PSY,20
428,sec_474,2024,01,mp76,LC,-1
429,sec_475,2625,01,mp17,CL,10
430,sec_476,3161,01,mp24,C,30
431,sec_477,1379,01,mp101,WB,12
432,sec_478,2393,03,mp5,PBPL,-1
433,sec_479,1080,09,mp35,LC,-1
434,sec_480,3159,01,mp8,CWAC,18
435,sec_481,2545,01,mp11,C,30
436,sec_482,2817,01,mp67,HC,65
437,sec_483,3054,01,mp17,WB,15
438,sec_484,3162,01,mp118,HC,19
439,sec_485,3805,01,mp13,STU,50
440,sec_486,3824,01,mp67,RO,-1
441,sec_487,3555,01,mp7,SHFE,30
442,sec_488,1651,04,mp62,C,18
443,sec_489,496,01,mp47,STU,60
444,sec_490,1819,05,mp119,K,19
445,sec_491,2422,01,mp120,C,18
446,sec_492,3362,00,mp12,BSLC,20
447,sec_493,2925,01,mp11,WB,15
448,sec_494,2883,30,mp121,,1
449,sec_495,2373,85,mp95,GC,65
450,sec_496,1506,00,mp3,C,28
451,sec_497,2305,01,mp13,KPTC,190
452,sec_498,2778,01,mp51,HC,65
453,sec_499,2713,05,mp5,PBPL,50
454,sec_502,2525,01,mp122,LC,-1
455,sec_503,2921,01,mp123,LC,15
456,sec_504,2650,01,mp12,PBPL,25
457,sec_505,1490,00,mp30,STU,66
458,sec_506,297,01,mp7,STU,60
459,sec_507,2964,01,mp15,M,-1
460,sec_508,3825,32,mp124,,1
461,sec_509,2575,01,mp29,S,16
462,sec_510,2242,01,mp7,SS,104
463,sec_511,3019,01,mp8,CL,40
464,sec_512,1991,01,mp125,BG,12
465,sec_513,844,01,mp12,HGS,18
466,sec_514,935,01,mp7,H,-1
467,sec_515,2448,07,mp5,PBPL,50
468,sec_518,3793,01,mp126,SS,20
469,sec_519,2531,08,mp127,SSA,-1
470,sec_520,3587,01,mp128,LBQ,25
471,sec_521,2613,01,mp35,SHFE,40
472,sec_523,3554,01,mp129,RO,50
473,sec_524,2378,01,mp1,SHFE,20
474,sec_525,1134,01,mp8,STU,50
475,sec_526,3190,01,mp7,GCIS,-1
476,sec_527,1062,17,mp54,WB,-1
477,sec_528,2618,32,mp106,DCAM,3
478,sec_529,3821,01,mp14,C,15
479,sec_530,3560,01,mp43,G,25
480,sec_531,3712,01,mp73,SHFE,15
481,sec_532,3776,00,mp130,STU,75
482,sec_533,2956,32,mp131,,1
483,sec_534,2988,01,mp8,CL,40
484,sec_535,503,01,mp20,BSLC,120
485,sec_536,3354,01,mp62,CL,20
486,sec_537,3151,01,mp15,JRL,14
487,sec_538,3614,01,mp7,BSLC,30
488,sec_539,3750,01,mp132,C,-1
489,sec_540,2488,01,mp19,WB,25
490,sec_541,937,01,mp12,HM,55
491,sec_542,3600,01,mp120,C,18
492,sec_543,1100,01,mp47,STU,75
493,sec_544,3414,81,mp26,GC,65
494,sec_545,2975,35,mp82,,2
495,sec_547,3070,01,mp12,K,200
496,sec_548,983,01,mp68,LBQ,-1
497,sec_549,3742,01,mp35,HM,14
498,sec_550,1322,01,mp5,LC,18
499,sec_551,1653,01,mp20,C,18
500,sec_552,3603,01,mp11,SS,20
501,sec_553,2678,01,mp28,GC,15
502,sec_554,2174,01,mp20,BSLC,120
503,sec_555,2396,01,mp133,SHFE,-1
504,sec_556,1219,10,mp44,E,27
505,sec_557,3713,01,mp24,C,30
506,sec_558,1058,01,mp134,SS,15
507,sec_559,2025,02,mp76,LC,-1
508,sec_560,1992,01,mp125,LC,17
509,sec_561,3521,01,mp135,BSLC,36
510,sec_562,3382,01,mp12,SHFE,75
511,sec_563,1509,00,mp8,C,38
512,sec_564,3155,01,mp136,LBQ,85
513,sec_565,3756,01,mp17,S,20
514,sec_566,2747,01,mp16,LBQ,20
515,sec_567,2308,01,mp137,KPTC,90
516,sec_568,1222,30,mp7,RY,27
517,sec_569,887,01,mp13,WB,20
518,sec_570,2858,01,mp47,C,30
519,sec_571,1223,52,mp8,SS,27
520,sec_572,1222,51,mp62,KPTC,27
521,sec_573,3825,30,mp138,,3
522,sec_574,3088,01,mp3,CWAC,12
523,sec_575,1222,21,mp6,E,27
524,sec_576,3018,01,mp139,LBQ,85
525,sec_577,2819,01,mp7,C,10
526,sec_578,2437,01,mp7,S,20
527,sec_579,2944,01,mp29,SS,20
528,sec_580,1648,03,mp13,C,18
529,sec_581,2615,01,mp68,BSLC,50
530,sec_582,3128,01,mp95,GC,15
531,sec_583,827,00,mp7,HGS,22
532,sec_584,2436,01,mp35,BSLC,-1
533,sec_585,2400,07,mp45,SSA,40
534,sec_586,2611,01,mp140,S,40
535,sec_587,2470,01,mp57,LBQ,85
536,sec_588,3376,01,mp11,,-1
537,sec_589,2389,30,mp141,,2
538,sec_590,3728,01,mp142,HC,65
539,sec_591,2753,01,mp47,STU,75
540,sec_592,2690,01,mp129,RO,50
541,sec_593,2109,01,mp12,BSLC,80
542,sec_595,3107,01,mp35,CLSC,80
543,sec_596,2683,01,mp37,SSA,-1
544,sec_597,3827,01,mp18,HGS,95
545,sec_598,1065,03,mp8,SS,-1
546,sec_599,3794,01,mp11,HGS,18
547,sec_600,3394,01,mp12,SHFE,75
548,sec_601,1391,01,mp11,C,10
549,sec_602,3395,01,mp12,CL,20
550,sec_603,1974,02,mp8,E,50
551,sec_604,378,01,mp7,RO,19
552,sec_605,2156,01,mp13,BSLC,40
553,sec_606,2671,30,mp81,,1
554,sec_607,3437,01,mp51,HC,65
555,sec_608,2640,01,mp5,S,20
556,sec_609,3110,01,mp104,SS,20
557,sec_610,3417,01,mp72,LBQ,85
558,sec_611,2655,01,mp7,C,25
559,sec_612,2420,01,mp36,HC,65
560,sec_613,2873,01,mp90,F,40
561,sec_614,2596,05,mp143,SSA,25
562,sec_615,2209,01,mp68,BSLC,50
563,sec_616,3618,01,mp84,RO,17
564,sec_617,433,01,mp3,SS,15
565,sec_618,3347,01,mp7,F,18
566,sec_619,3700,01,mp144,RY,40
567,sec_620,3610,01,mp24,C,30
568,sec_621,1737,01,mp20,F,18
569,sec_622,3373,01,mp7,RO,60
570,sec_623,3678,00,mp12,STU,50
571,sec_625,3136,01,mp145,GC,-1
572,sec_626,3604,01,mp146,GO H,15
573,sec_627,1712,01,mp13,C,18
574,sec_628,2331,01,mp29,SS,20
575,sec_629,899,01,mp7,SS,20
576,sec_630,1648,02,mp20,C,18
577,sec_631,2450,01,mp90,S,20
578,sec_633,3017,01,mp147,Y,-1
579,sec_634,2329,01,mp1,SHFE,15
580,sec_635,3355,01,mp1,SSA,-1
581,sec_636,1062,02,mp7,WB,-1
582,sec_637,1687,01,mp12,WB,20
583,sec_638,3829,01,mp7,PSY,40
584,sec_639,2356,34,mp46,,1
585,sec_641,2954,01,mp12,BSLC,30
586,sec_642,2214,01,mp5,BSLC,-1
587,sec_643,1062,05,mp11,CL,-1
588,sec_644,633,01,mp7,RY,-1
589,sec_645,1320,01,mp7,GO H,17
590,sec_646,3689,01,mp5,E,-1
591,sec_647,3046,01,mp148,GCIS,25
592,sec_648,2092,01,mp13,BSLC,40
593,sec_649,876,01,mp12,C,30
594,sec_650,3418,01,mp149,PBPL,50
595,sec_651,1224,43,mp13,E,30
596,sec_653,1508,01,mp7,C,15
597,sec_654,3348,01,mp105,OR,20
598,sec_655,3693,01,mp7,HGS,18
599,sec_656,3501,81,mp28,GC,65
600,sec_657,2756,01,mp8,C,30
601,sec_658,1779,01,mp13,C,18
602,sec_659,1232,55,mp62,HGS,34
603,sec_660,1065,11,mp12,SS,-1
604,sec_661,431,00,mp7,STU,60
605,sec_662,3792,01,mp7,C,15
606,sec_663,2473,01,mp24,SHFE,35
607,sec_664,3112,00,mp5,SS,40
608,sec_665,2866,01,mp150,LBQ,53
609,sec_666,3780,01,mp19,STU,-1
610,sec_667,3332,01,mp12,P,-1
611,sec_668,686,01,mp151,C,18
612,sec_669,3456,01,mp47,STU,60
613,sec_670,2444,01,mp15,P,20
614,sec_672,2582,01,mp152,LBQ,20
615,sec_673,2025,01,mp153,LC,-1
616,sec_674,890,01,mp20,C,18
617,sec_675,2854,81,mp154,GC,15
618,sec_676,3660,01,mp143,SSA,30
619,sec_677,3329,01,mp12,PBPL,40
620,sec_678,1065,09,mp35,C,-1
621,sec_679,864,02,mp20,C,18
622,sec_680,2914,01,mp12,BSLC,40
623,sec_682,1065,10,mp24,C,-1
624,sec_683,3047,01,mp84,SS,15
625,sec_684,3224,01,mp155,WCH,20
626,sec_685,3266,01,mp129,SSA,30
627,sec_686,3398,01,mp1,SHFE,15
628,sec_687,1003,01,mp69,JRL,20
629,sec_689,3454,01,mp156,LBQ,87
630,sec_690,3432,01,mp18,F,30
631,sec_691,1411,01,mp6,OR,18
632,sec_692,2416,01,mp26,GC,25
633,sec_693,2984,81,mp75,GC,65
634,sec_694,2723,01,mp7,GCIS,-1
635,sec_695,682,03,mp105,C,18
636,sec_696,1405,01,mp105,OR,20
637,sec_697,3263,01,mp157,F,18
638,sec_698,2447,01,mp140,BSLC,20
639,sec_699,1648,05,mp68,C,18
640,sec_700,2864,01,mp95,GC,25
641,sec_702,2849,01,mp158,PSY,10
642,sec_703,2667,01,mp24,CL,25
643,sec_704,1710,02,mp20,C,18
644,sec_705,3677,01,mp29,SSA,30
645,sec_707,3415,81,mp154,GC,65
646,sec_708,2505,01,mp1,SSA,40
647,sec_710,3697,01,mp8,SHFE,-1
648,sec_711,2370,01,mp16,LBQ,7
649,sec_712,1648,01,mp6,C,18
650,sec_714,3755,01,mp12,C,25
651,sec_716,3761,81,mp154,GC,65
652,sec_717,1501,00,mp5,SS,38
653,sec_718,3698,01,mp8,H,30
654,sec_719,1071,08,mp47,C,-1
655,sec_720,2351,01,mp15,S,20
656,sec_721,2115,01,mp8,BSLC,50
